Index,Name,Cost,Perception Entropy,Generation,s0_type,s0_x,s0_y,s0_z,s0_qw,s0_qx,s0_qy,s0_qz,s1_type,s1_x,s1_y,s1_z,s1_qw,s1_qx,s1_qy,s1_qz,s2_type,s2_x,s2_y,s2_z,s2_qw,s2_qx,s2_qy,s2_qz,s3_type,s3_x,s3_y,s3_z,s3_qw,s3_qx,s3_qy,s3_qz,s4_type,s4_x,s4_y,s4_z,s4_qw,s4_qx,s4_qy,s4_qz
0,Prior Design,5.0,2.419967160926951,0,2,0.1,0.2,0.3,6.123233995736766e-17,0.0,0.0,1.0,2,0.0,0.0,1.0,6.123233995736766e-17,0.13052619222005157,7.832796718715562e-18,0.9914448613738105,1,0.2,0.3,0.4,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Design 1,3.0,1.524318493039312,1,1,1.6014891373510733,0.9682615757193975,0.31342417815924284,0.1351279616355896,-0.5927509069442749,0.7488150000572205,-0.26393741369247437,2,1.3846452313386282,0.8763891522960383,0.8946066635038473,-0.594339907169342,0.18170957267284393,-0.04416236653923988,0.7821708917617798,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Design 2,3.0,5.937166868037075,1,1,0.6310312620121259,0.6865009276815837,0.8346256718973729,0.5934897065162659,-0.35992148518562317,-0.7115319967269897,-0.109310083091259,1,0.03657655468838361,0.7501443149449675,0.9888610889064947,0.33784475922584534,0.620613157749176,0.7071691155433655,-0.024739982560276985,1,1.4963313087596788,0.2804439920644052,0.7892793284514885,0.7412608861923218,0.08258802443742752,0.6640486717224121,-0.05244891718029976,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Design 3,5.0,2.778318852377955,1,1,0.03873391574059415,0.678835532939891,0.21162811600005904,-0.45570167899131775,-0.37000134587287903,-0.07840638607740402,-0.805783748626709,2,0.5310933187444524,0.4915731592803383,0.053362545117080384,-0.17767152190208435,-0.922970712184906,0.10020461678504944,-0.32636940479278564,2,1.1482352109840261,0.14672857490581015,0.5893055369032842,0.019040770828723907,-0.1132989451289177,-0.831043541431427,0.544212818145752,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Design 4,4.0,-2.821926163449573,1,2,1.0717928118310232,0.6637946452197888,0.5148891120583086,0.7368475794792175,0.354165256023407,-0.4352368712425232,-0.37708282470703125,1,1.8891895119816267,0.5865550405019929,0.9034019152878835,0.10481496155261993,-0.03552458807826042,0.8564233779907227,0.5042725801467896,1,0.27494940829247505,0.13927634725075855,0.8073912887095238,0.2878830134868622,-0.11470160633325577,0.27247852087020874,0.9108909964561462,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Design 5,3.0,1.524318493039312,2,1,1.6014891373510733,0.9682615757193975,0.31342417815924284,0.1351279616355896,-0.5927509069442749,0.7488150000572205,-0.26393741369247437,2,1.3846452313386282,0.8763891522960383,0.8946066635038473,-0.594339907169342,0.18170957267284393,-0.04416236653923988,0.7821708917617798,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Design 6,4.0,-2.821926163449573,2,2,1.0717928118310232,0.6637946452197888,0.5148891120583086,0.7368475794792175,0.354165256023407,-0.4352368712425232,-0.37708282470703125,1,1.8891895119816267,0.5865550405019929,0.9034019152878835,0.10481496155261993,-0.03552458807826042,0.8564233779907227,0.5042725801467896,1,0.27494940829247505,0.13927634725075855,0.8073912887095238,0.2878830134868622,-0.11470160633325577,0.27247852087020874,0.9108909964561462,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Design 7,3.0,5.937166868037075,2,1,0.6310312620121259,0.6865009276815837,0.8346256718973729,0.5934897065162659,-0.35992148518562317,-0.7115319967269897,-0.109310083091259,1,0.03657655468838361,0.7501443149449675,0.9888610889064947,0.33784475922584534,0.620613157749176,0.7071691155433655,-0.024739982560276985,1,1.4963313087596788,0.2804439920644052,0.7892793284514885,0.7412608861923218,0.08258802443742752,0.6640486717224121,-0.05244891718029976,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Design 8,5.0,1.259520263807231,2,1,0.6251085467060256,0.678835532939891,0.21162811600005904,-0.7455695271492004,-0.6402042508125305,-0.1397348940372467,-0.12140313535928726,2,0.02632629796380731,0.752301980119063,0.053362545117080384,0.2893366515636444,-0.9023792147636414,0.09704411774873734,-0.30426716804504395,2,1.0,0.14807801345792093,0.5893055369032842,0.6067093014717102,-0.08523469418287277,-0.6472485065460205,0.45355063676834106,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
